"","Id","Label","Interval","Weight","Dept","Orientation"
"148","BUJPA5QAAAAJ","GOKHAN MEMIK ",0,3,"CS","CS"
"149","0Qr2IGwAAAAJ","ZORAN POPOVI ",0,3,"CS","CS"
"150","eZr-ai0AAAAJ","SETH COOPER ",0,1,"CS","CS"
"151","iDMvmEYAAAAJ","ERIK ANDERSEN ",0,1,"CS","CS"
"152","0RMteS0AAAAJ","SHIVAKANT MISHRA ",0,1,"CS","CS"
"153","mah-B4IAAAAJ","RICHARD Y HAN ",0,1,"CS","CS"
"154","0sU4eAwAAAAJ","VICTORIA J ROWNTREE ",0,1,"BIO","BIO"
"155","0VFi-vAAAAAJ","GEORGE N KOLLIOS ",0,2,"CS","CS"
"156","qPDhlWkAAAAJ","FEIFEI LI ",0,3,"CS","CS"
"157","1KRXBIwAAAAJ","LEONID REYZIN ",0,4,"CS","CS"
"158","0vsEnW8AAAAJ","KIMBERLY A SELKOE ",0,2,"BIO","BIO"
"159","Qjb5DnwAAAAJ","LARRY B CROWDER ",0,3,"BIO","BIO"
"160","0vWWXXUAAAAJ","BUELENT YENER ",0,1,"CS","XD"
"161","zIxfutQAAAAJ","AMANDA W LUND ",0,1,"BIO","XD"
"162","0VzUxIcAAAAJ","DARRELL WHITLEY ",0,2,"CS","CS"
"163","blFs68UAAAAJ","INDRAJIT RAY ",0,1,"CS","CS"
"164","FjV70BwAAAAJ","ADELE E HOWE ",0,1,"CS","CS"
"165","0w0Dy34AAAAJ","JUDY QIU ",0,1,"CS","CS"
"166","g2v_-SkAAAAJ","YANG RUAN ",0,1,"CS","CS"
"167","0XV1sFsAAAAJ","SIMON SINSING LAM ",0,1,"CS","CS"
"168","16posrQAAAAJ","LILI QIU ",0,4,"CS","CS"
"169","0y6JDD4AAAAJ","MAHADEV SATYANARAYANAN ",0,1,"CS","CS"
"170","CIh57tYAAAAJ","LIVIU IFTODE ",0,4,"CS","CS"
"171","0YlwI5MAAAAJ","BRUCE TIDOR ",0,1,"CS","XD"
"172","4EQ2zFYAAAAJ","CELIA A SCHIFFER ",0,1,"BIO","XD"
"173","0zZnyMEAAAAJ","WILLIAM T FREEMAN ",0,6,"CS","CS"
"174","NJ9c4ygAAAAJ","FREDO DURAND ",0,1,"CS","CS"
"175","XYy_Nm4AAAAJ","ALAN S WILLSKY ",0,6,"CS","CS"
"176","ffdt7gMAAAAJ","ALEXANDER T IHLER ",0,5,"CS","CS"
"177","0_vvBZkAAAAJ","EITAN GRINSPUN ",0,1,"CS","CS"
"178","Pm23sq4AAAAJ","ETIENNE VOUGA ",0,1,"CS","CS"
"179","10HSX90AAAAJ","JULES WHITE ",0,2,"CS","CS"
"180","8GA4R2wAAAAJ","DOUGLAS C SCHMIDT ",0,4,"CS","CS"
"181","yvvjnhIAAAAJ","ANIRUDDHA S GOKHALE ",0,4,"CS","CS"
"182","11NcM2EAAAAJ","DONG XUAN ",0,2,"CS","CS"
"183","jOX_9bQAAAAJ","PRASUN SINHA ",0,2,"CS","CS"
"184","LiAGLcwAAAAJ","RICCARDO BETTATI ",0,1,"CS","CS"
"185","11RguYAAAAAJ","NATHAN MICHAEL SPRINGER ",0,2,"BIO","XD"
"186","Tnvl5EcAAAAJ","BO WANG ",0,6,"BIO","XD"
"187","QiYAB0wAAAAJ","SCOTT J EMRICH ",0,3,"CS","XD"
