"","google_id","year","citations","coauthor_codes"
"3210","PUFxrroAAAAJ",1990,174,"PUFxrroAAAAJ"
"3211","PUFxrroAAAAJ",1990,6,"PUFxrroAAAAJ"
"3212","puOEoqoAAAAJ",1990,958,"Lb4-GKsAAAAJ,0,0,-UyfaYEAAAAJ,puOEoqoAAAAJ"
"3213","puOEoqoAAAAJ",1990,23,"0,puOEoqoAAAAJ"
"3214","puOEoqoAAAAJ",1990,184,"2,2,0,puOEoqoAAAAJ"
"3215","puOEoqoAAAAJ",1990,44,"0,55pOyCkAAAAJ,puOEoqoAAAAJ"
"3216","puQs_pcAAAAJ",1990,74,"puQs_pcAAAAJ,0,0,0,0"
"3217","puQs_pcAAAAJ",1990,101,"0,puQs_pcAAAAJ,0,0,0,0,0"
"3218","puQs_pcAAAAJ",1990,33,"puQs_pcAAAAJ,2,0,0"
"3219","PVdueKUAAAAJ",1990,121,"PVdueKUAAAAJ,0"
"3220","pwhyTq0AAAAJ",1990,48,"1,pwhyTq0AAAAJ"
"3221","PWp9YUUAAAAJ",1990,118,"PWp9YUUAAAAJ,0"
"3222","PWp9YUUAAAAJ",1990,74,"PWp9YUUAAAAJ"
"3223","pxc_-XYAAAAJ",1990,11,"1,pxc_-XYAAAAJ,1,1"
"3224","pxc_-XYAAAAJ",1990,24,"pxc_-XYAAAAJ,p5oWQ0AAAAAJ"
"3225","pxc_-XYAAAAJ",1990,18,"pxc_-XYAAAAJ"
"3226","py3k-ykAAAAJ",1990,374,"0,0,0,0,py3k-ykAAAAJ"
"3227","py3k-ykAAAAJ",1990,75,"0,0,py3k-ykAAAAJ"
"3228","py3k-ykAAAAJ",1990,149,"0,0,py3k-ykAAAAJ"
"3229","py3k-ykAAAAJ",1990,59,"2,0,py3k-ykAAAAJ"
"3230","py3k-ykAAAAJ",1990,28,"py3k-ykAAAAJ"
"3231","Py54GcEAAAAJ",1990,22,"Py54GcEAAAAJ,axOnEnQAAAAJ"
"3232","Py54GcEAAAAJ",1990,36,"Py54GcEAAAAJ,axOnEnQAAAAJ,1"
"3233","PyM-ZRAAAAAJ",1990,72,"PyM-ZRAAAAAJ,0,2"
"3234","PyM-ZRAAAAAJ",1990,48,"PyM-ZRAAAAAJ,0"
"3235","PyM-ZRAAAAAJ",1990,12,"PyM-ZRAAAAAJ,0,0"
"3236","PyM-ZRAAAAAJ",1990,126,"PyM-ZRAAAAAJ,0"
"3237","PyM-ZRAAAAAJ",1990,51,"PyM-ZRAAAAAJ,0"
"3238","PyM-ZRAAAAAJ",1990,12,"PyM-ZRAAAAAJ,0"
"3239","PyM-ZRAAAAAJ",1990,1,"PyM-ZRAAAAAJ,0"
"3240","PyM-ZRAAAAAJ",1990,25,"PyM-ZRAAAAAJ,0,0,0"
"3241","PyM-ZRAAAAAJ",1990,136,"PyM-ZRAAAAAJ,0,0,0"
"3242","PyM-ZRAAAAAJ",1990,29,"PyM-ZRAAAAAJ,0"
"3243","PyM-ZRAAAAAJ",1990,11,"PyM-ZRAAAAAJ,0"
"3244","PyuqtQcAAAAJ",1990,1,"2,2,2,2,2,2,2,2,2,2,2,2,PyuqtQcAAAAJ,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
"3245","PyuqtQcAAAAJ",1990,10,"1,PyuqtQcAAAAJ"
"3246","PyuqtQcAAAAJ",1990,80,"2,PyuqtQcAAAAJ,1"
"3247","Pz0YttAAAAAJ",1990,11,"Pz0YttAAAAAJ,1"
"3248","PzaBy-UAAAAJ",1990,74,"1,PzaBy-UAAAAJ,1"
"3249","PzaBy-UAAAAJ",1990,1,"PzaBy-UAAAAJ,1"
"3250","pZhZndYAAAAJ",1990,8,"pZhZndYAAAAJ"
"3251","q-t3rScAAAAJ",1990,4,"q-t3rScAAAAJ"
"3252","q-t3rScAAAAJ",1990,22,"q-t3rScAAAAJ"
"3253","q-t3rScAAAAJ",1990,31,"0,q-t3rScAAAAJ"
"3254","q-t3rScAAAAJ",1990,6,"q-t3rScAAAAJ"
"3255","q-t3rScAAAAJ",1990,14,"0,q-t3rScAAAAJ"
"3256","q0nuNrEAAAAJ",1990,12,"q0nuNrEAAAAJ,1,1,1"
"3257","q0nuNrEAAAAJ",1990,27,"q0nuNrEAAAAJ"
"3258","q0nuNrEAAAAJ",1990,7,"q0nuNrEAAAAJ,1,1,1"
"3259","q16KVs0AAAAJ",1990,143,"q16KVs0AAAAJ,zZ0-4SUAAAAJ"
"3260","q16KVs0AAAAJ",1990,46,"q16KVs0AAAAJ,1,1"
"3261","q16KVs0AAAAJ",1990,721,"q16KVs0AAAAJ,1"
"3262","q16KVs0AAAAJ",1990,157,"q16KVs0AAAAJ,1"
"3263","q16KVs0AAAAJ",1990,380,"q16KVs0AAAAJ,zZ0-4SUAAAAJ"
"3264","q1bkP7AAAAAJ",1990,23,"q1bkP7AAAAAJ,1"
