"","Source","Target","Type","Id","Label","Interval","Weight"
"63","01EOkNEAAAAJ","l5mmRVoAAAAJ","Direct","01EOkNEAAAAJ_l5mmRVoAAAAJ","Direct","",1
"64","01EOkNEAAAAJ","E7kDxi4AAAAJ","Direct","01EOkNEAAAAJ_E7kDxi4AAAAJ","Direct","",1
"65","022gx2QAAAAJ","LgF3Ds0AAAAJ","Direct","022gx2QAAAAJ_LgF3Ds0AAAAJ","Direct","",1
"66","02nHF0gAAAAJ","67aYFTQAAAAJ","Direct","02nHF0gAAAAJ_67aYFTQAAAAJ","Direct","",1
"67","02nHF0gAAAAJ","yILa1y0AAAAJ","Direct","02nHF0gAAAAJ_yILa1y0AAAAJ","Direct","",1
"68","yILa1y0AAAAJ","67aYFTQAAAAJ","Direct","yILa1y0AAAAJ_67aYFTQAAAAJ","Direct","",1
"69","02_kT4YAAAAJ","xe0eVksAAAAJ","Direct","02_kT4YAAAAJ_xe0eVksAAAAJ","Direct","",1
"70","03uVItYAAAAJ","cfwxm0AAAAAJ","Direct","03uVItYAAAAJ_cfwxm0AAAAAJ","Direct","",1
"71","04TuVhEAAAAJ","cYReSuEAAAAJ","Direct","04TuVhEAAAAJ_cYReSuEAAAAJ","Direct","",1
"72","cYReSuEAAAAJ","0zrqo3B-66wC","Direct","cYReSuEAAAAJ_0zrqo3B-66wC","Direct","",1
"73","cYReSuEAAAAJ","00M1AqQAAAAJ","Direct","cYReSuEAAAAJ_00M1AqQAAAAJ","Direct","",1
"74","cYReSuEAAAAJ","98iA_ooAAAAJ","Direct","cYReSuEAAAAJ_98iA_ooAAAAJ","Direct","",1
"75","05UuCNQAAAAJ","wQzELzEAAAAJ","Direct","05UuCNQAAAAJ_wQzELzEAAAAJ","Direct","",1
"76","05UuCNQAAAAJ","qnwjcfAAAAAJ","Direct","05UuCNQAAAAJ_qnwjcfAAAAAJ","Direct","",1
"77","05UuCNQAAAAJ","EBnjjY8AAAAJ","Direct","05UuCNQAAAAJ_EBnjjY8AAAAJ","Direct","",1
"78","EBnjjY8AAAAJ","Jc7sf8YAAAAJ","Direct","EBnjjY8AAAAJ_Jc7sf8YAAAAJ","Direct","",1
"79","05UuCNQAAAAJ","Jc7sf8YAAAAJ","Direct","05UuCNQAAAAJ_Jc7sf8YAAAAJ","Direct","",1
"80","07ds-DAAAAAJ","Da-s1FQAAAAJ","Direct","07ds-DAAAAAJ_Da-s1FQAAAAJ","Direct","",1
"81","07ds-DAAAAAJ","4VJre9IAAAAJ","Direct","07ds-DAAAAAJ_4VJre9IAAAAJ","Direct","",1
"82","0cq9zpQAAAAJ","ci2F0o8AAAAJ","Direct","0cq9zpQAAAAJ_ci2F0o8AAAAJ","Direct","",1
"83","ci2F0o8AAAAJ","wYJOq-wAAAAJ","Direct","ci2F0o8AAAAJ_wYJOq-wAAAAJ","Direct","",1
"84","0cq9zpQAAAAJ","wYJOq-wAAAAJ","Direct","0cq9zpQAAAAJ_wYJOq-wAAAAJ","Direct","",1
"85","0DpK1EMAAAAJ","juRk4lQAAAAJ","Direct","0DpK1EMAAAAJ_juRk4lQAAAAJ","Direct","",1
"86","0ESwQagAAAAJ","nVksQusAAAAJ","Direct","0ESwQagAAAAJ_nVksQusAAAAJ","Direct","",1
"87","0fq5QeIAAAAJ","NzQu5SwAAAAJ","Direct","0fq5QeIAAAAJ_NzQu5SwAAAAJ","Direct","",1
"88","0fq5QeIAAAAJ","wwkGLrcAAAAJ","Direct","0fq5QeIAAAAJ_wwkGLrcAAAAJ","Direct","",1
"89","0fq5QeIAAAAJ","rXYLXJMAAAAJ","Direct","0fq5QeIAAAAJ_rXYLXJMAAAAJ","Direct","",1
"90","0fq5QeIAAAAJ","4veQB4cAAAAJ","Direct","0fq5QeIAAAAJ_4veQB4cAAAAJ","Direct","",1
"91","4veQB4cAAAAJ","wwkGLrcAAAAJ","Direct","4veQB4cAAAAJ_wwkGLrcAAAAJ","Direct","",1
"92","0fVKnEcAAAAJ","wjPrcoUAAAAJ","Direct","0fVKnEcAAAAJ_wjPrcoUAAAAJ","Direct","",1
"93","0fVKnEcAAAAJ","7kDEN7kAAAAJ","Direct","0fVKnEcAAAAJ_7kDEN7kAAAAJ","Direct","",1
"94","7kDEN7kAAAAJ","wjPrcoUAAAAJ","Direct","7kDEN7kAAAAJ_wjPrcoUAAAAJ","Direct","",1
"95","wjPrcoUAAAAJ","puOEoqoAAAAJ","Direct","wjPrcoUAAAAJ_puOEoqoAAAAJ","Direct","",1
"96","0fVKnEcAAAAJ","puOEoqoAAAAJ","Direct","0fVKnEcAAAAJ_puOEoqoAAAAJ","Direct","",1
"97","0IHc9DUAAAAJ","pPUjlKwAAAAJ","Direct","0IHc9DUAAAAJ_pPUjlKwAAAAJ","Direct","",1
"98","0iJRaawAAAAJ","YTJrQA4AAAAJ","Direct","0iJRaawAAAAJ_YTJrQA4AAAAJ","Direct","",1
"99","0JLkp6FGK_AC","4ew4MwwAAAAJ","Direct","0JLkp6FGK_AC_4ew4MwwAAAAJ","Direct","",1
"100","0oj4N0sAAAAJ","AYT3-TcAAAAJ","Direct","0oj4N0sAAAAJ_AYT3-TcAAAAJ","Direct","",1
"101","0sU4eAwAAAAJ","iRaegw8AAAAJ","Direct","0sU4eAwAAAAJ_iRaegw8AAAAJ","Direct","",1
"102","0tJWcp4AAAAJ","CoxGqVsAAAAJ","Direct","0tJWcp4AAAAJ_CoxGqVsAAAAJ","Direct","",1
"103","CoxGqVsAAAAJ","IeBc5OsAAAAJ","Direct","CoxGqVsAAAAJ_IeBc5OsAAAAJ","Direct","",1
"104","CoxGqVsAAAAJ","sUVeH-4AAAAJ","Direct","CoxGqVsAAAAJ_sUVeH-4AAAAJ","Direct","",1
"105","0tJWcp4AAAAJ","IeBc5OsAAAAJ","Direct","0tJWcp4AAAAJ_IeBc5OsAAAAJ","Direct","",1
"106","IeBc5OsAAAAJ","sUVeH-4AAAAJ","Direct","IeBc5OsAAAAJ_sUVeH-4AAAAJ","Direct","",1
"107","0tJWcp4AAAAJ","sUVeH-4AAAAJ","Direct","0tJWcp4AAAAJ_sUVeH-4AAAAJ","Direct","",1
"108","0VFi-vAAAAAJ","fUTN90MAAAAJ","Direct","0VFi-vAAAAAJ_fUTN90MAAAAJ","Direct","",1
"109","0VFi-vAAAAAJ","uFJi3IUAAAAJ","Direct","0VFi-vAAAAAJ_uFJi3IUAAAAJ","Direct","",1
"110","uFJi3IUAAAAJ","A45mhtsAAAAJ","Direct","uFJi3IUAAAAJ_A45mhtsAAAAJ","Direct","",1
"111","0VFi-vAAAAAJ","A45mhtsAAAAJ","Direct","0VFi-vAAAAAJ_A45mhtsAAAAJ","Direct","",1
"112","0VFi-vAAAAAJ","aKkIMogAAAAJ","Direct","0VFi-vAAAAAJ_aKkIMogAAAAJ","Direct","",1
"113","aKkIMogAAAAJ","fUTN90MAAAAJ","Direct","aKkIMogAAAAJ_fUTN90MAAAAJ","Direct","",1
"114","0VzUxIcAAAAJ","pAI5S50AAAAJ","Direct","0VzUxIcAAAAJ_pAI5S50AAAAJ","Direct","",1
"115","0XV1sFsAAAAJ","AQ6AppgAAAAJ","Direct","0XV1sFsAAAAJ_AQ6AppgAAAAJ","Direct","",1
"116","0XV1sFsAAAAJ","kEM42bEAAAAJ","Direct","0XV1sFsAAAAJ_kEM42bEAAAAJ","Direct","",1
"117","0XV1sFsAAAAJ","GRGOG1AAAAAJ","Direct","0XV1sFsAAAAJ_GRGOG1AAAAAJ","Direct","",1
"118","0y6JDD4AAAAJ","YxGHbuMAAAAJ","Direct","0y6JDD4AAAAJ_YxGHbuMAAAAJ","Direct","",1
"119","0YlwI5MAAAAJ","gQOKAggAAAAJ","Direct","0YlwI5MAAAAJ_gQOKAggAAAAJ","Direct","",1
"120","0zVOVQ0AAAAJ","11NcM2EAAAAJ","Direct","0zVOVQ0AAAAJ_11NcM2EAAAAJ","Direct","",1
"121","11NcM2EAAAAJ","LiAGLcwAAAAJ","Direct","11NcM2EAAAAJ_LiAGLcwAAAAJ","Direct","",1
"122","0zVOVQ0AAAAJ","LiAGLcwAAAAJ","Direct","0zVOVQ0AAAAJ_LiAGLcwAAAAJ","Direct","",1
"123","0zZnyMEAAAAJ","e1MZuKIAAAAJ","Direct","0zZnyMEAAAAJ_e1MZuKIAAAAJ","Direct","",1
"124","e1MZuKIAAAAJ","oq8WAwsAAAAJ","Direct","e1MZuKIAAAAJ_oq8WAwsAAAAJ","Direct","",1
"125","0zZnyMEAAAAJ","oq8WAwsAAAAJ","Direct","0zZnyMEAAAAJ_oq8WAwsAAAAJ","Direct","",1
"126","11RguYAAAAAJ","_bACLswAAAAJ","Direct","11RguYAAAAAJ__bACLswAAAAJ","Direct","",1
"127","19KQ9w8AAAAJ","xdIRtREAAAAJ","Direct","19KQ9w8AAAAJ_xdIRtREAAAAJ","Direct","",1
"128","1CR0meYAAAAJ","BD8llAEAAAAJ","Direct","1CR0meYAAAAJ_BD8llAEAAAAJ","Direct","",1
