"","Id","Label","Interval","Weight","Dept","Orientation"
"137","dWVyVm4AAAAJ","HANS W PAERL ",0,2,"BIO",""
"138","Fz-5bdcAAAAJ","DOUGLAS G CAPONE ",0,4,"BIO",""
"139","e4_ZXcwAAAAJ","GREG C GIBSON ",0,1,"BIO",""
"140","F-MEiNAAAAAJ","MAREK MLODZIK ",0,1,"BIO",""
"141","EFEC_toAAAAJ","BRUCE G BUCHANAN ",0,2,"CS",""
"142","s6XjtCMAAAAJ","RUSS BIAGIO ALTMAN ",0,2,"BIO",""
"143","EmLddhQAAAAJ","DAVID P CREWS ",0,1,"BIO",""
"144","eyq1L0gAAAAJ","NING QIAN ",0,1,"BIO",""
"145","fez4ulcAAAAJ","DANA S NAU ",0,1,"CS",""
"146","FUJJ66cAAAAJ","MARK A CHAPPELL ",0,1,"BIO",""
"147","VjvupJUAAAAJ","JED A FUHRMAN ",0,2,"BIO",""
"148","GmcChLIAAAAJ","JAMES D FOLEY ",0,2,"CS",""
"149","PogsVkYAAAAJ","STEVEN K FEINER ",0,3,"CS",""
"150","M6urChQAAAAJ","ALOYSIUS K MOK ",0,4,"CS",""
"151","GUAoEcAAAAAJ","SCOTT J SHENKER ",0,2,"CS",""
"152","h6jljQQAAAAJ","EVA TARDOS ",0,5,"CS",""
"153","gWBoNCsAAAAJ","CHARLES ERIC LEISERSON ",0,3,"CS",""
"154","Gwrwxa0AAAAJ","BRUCE MACDOWELL MAGGS ",0,1,"CS",""
"155","RUP4S68AAAAJ","SANJEEV ARORA ",0,1,"CS",""
"156","gyL3CZ0AAAAJ","CHANDRAJIT L BAJAJ ",0,1,"CS",""
"157","k7VhUnAAAAAJ","TAMAL KRISHNA DEY ",0,1,"CS",""
"158","h5gEfxsAAAAJ","XIAOQIU HUANG ",0,2,"CS",""
"159","waPNWUYAAAAJ","ROSS C HARDISON ",0,2,"BIO",""
"160","rD8a4hQAAAAJ","DAVID B SHMOYS ",0,3,"CS",""
"161","HBi2xQkAAAAJ","DAPHNE JANICE FAIRBAIRN ",0,1,"BIO",""
"162","xQlXXWQAAAAJ","DEREK A ROFF ",0,1,"BIO",""
"163","hgUGouQAAAAJ","GEORGE M HRIPCSAK ",0,2,"BIO",""
"164","HuSHIWkAAAAJ","SANJOY K BARUAH ",0,2,"CS",""
"165","Id792TsAAAAJ","ROGER ALAN CRAWFIS ",0,1,"CS",""
"166","RzEnQmgAAAAJ","PAT HANRAHAN ",0,1,"CS",""
"167","J09a41oAAAAJ","OTONIEL MARTINEZ-MAZA ",0,2,"BIO",""
"168","V8erWBIAAAAJ","RONALD H STEVENS ",0,2,"BIO",""
"169","J12C3nYAAAAJ","KEVIN JEFFAY ",0,1,"CS",""
"170","J1tqbNAAAAAJ","UMAKISHORE RAMACHANDRAN ",0,2,"CS",""
"171","xkCYK58AAAAJ","MUSTAQUE AHAMAD ",0,5,"CS",""
"172","j9XJD8QAAAAJ","ROBERT R KESSLER ",0,1,"CS",""
"173","LgL2HpkAAAAJ","KWAN LIU MA ",0,1,"CS",""
"174","jDm73CQAAAAJ","ANURA P JAYASUMANA ",0,2,"CS",""
"175","y2fSlecAAAAJ","YASHWANT K MALAIYA ",0,2,"CS",""
"176","jdq0xz8AAAAJ","MICHAEL CHARLES FERRIS ",0,1,"CS",""
"177","JNPbTdIAAAAJ","JAMES ALEXANDER HENDLER ",0,1,"CS",""
"178","JPM3RdEAAAAJ","JEFFREY DONALD PALMER ",0,1,"BIO",""
"179","utnDy7MAAAAJ","ROBERT K JANSEN ",0,1,"BIO",""
"180","jUzA3H8AAAAJ","DON S BATORY ",0,1,"CS",""
"181","SKVnHakAAAAJ","HOSAGRAHAR VISVESVARAYA JAGADISH ",0,1,"CS",""
"182","kBGGEjUAAAAJ","INSUP LEE ",0,2,"CS",""
"183","LW4lnZYAAAAJ","SUSAN B DAVIDSON ",0,2,"CS",""
"184","keQw9LQAAAAJ","JAMES KENNETH LIEBHERR ",0,1,"BIO",""
"185","NeJ-SQEAAAAJ","ANN E HAJEK ",0,1,"BIO",""
"186","ktyhG_oAAAAJ","GREGORY ALLAN WRAY ",0,1,"BIO",""
"187","ywgYvpsAAAAJ","LAWRENCE E GILBERT ",0,2,"BIO",""
"188","kWnv_YkAAAAJ","RAJEEV ALUR ",0,1,"CS",""
"189","kYK4tvsAAAAJ","JEAN H GALLIER ",0,2,"CS",""
"190","uT9_8hcAAAAJ","WAYNE SNYDER ",0,2,"CS",""
"191","L9cC5tIAAAAJ","TEH-HUI KAO ",0,2,"BIO",""
"192","OfcXtoIAAAAJ","THOMAS R IOERGER ",0,2,"CS",""
"193","LAv0HTEAAAAJ","JOHN F CANNY ",0,3,"CS",""
"194","ugFNit4AAAAJ","MING C LIN ",0,1,"CS",""
"195","X08l_4IAAAAJ","DINESH MANOCHA ",0,2,"CS",""
"196","LIdVlPsAAAAJ","GAIL E KAISER ",0,1,"CS",""
"197","xViwZ0QAAAAJ","CARLO TOMASI ",0,2,"CS",""
"198","lRTRxSIAAAAJ","RICHARD A YOUNG ",0,1,"BIO",""
"199","rXYLXJMAAAAJ","CHRISTOS H PAPADIMITRIOU ",0,4,"CS",""
"200","lW61FSQAAAAJ","STEPHEN JOSEPH KRON ",0,1,"BIO",""
"201","nwNHXf4AAAAJ","JAMES A SPUDICH ",0,1,"BIO",""
"202","LYt_4uIAAAAJ","MAJID SARRAFZADEH ",0,1,"CS",""
"203","m1qAiOUAAAAJ","TERRENCE JOSEPH SEJNOWSKI ",0,1,"CS",""
"204","M4xQUc0AAAAJ","ALAN LEROY SCOTT ",0,2,"BIO",""
"205","sUo8vqYAAAAJ","JONATHAN D DINMAN ",0,2,"BIO",""
"206","MCe-I6wAAAAJ","DAVID ISAAC ZUCKERMAN ",0,1,"CS",""
"207","VwQRddkAAAAJ","RUSSELL IMPAGLIAZZO ",0,3,"CS",""
"208","MYqlcPgAAAAJ","THOMAS E ANDERSON ",0,6,"CS",""
"209","NhY4TT4AAAAJ","EDWARD D LAZOWSKA ",0,4,"CS",""
"210","ymwKqZsAAAAJ","HENRY M LEVY ",0,4,"CS",""
"211","n3LTWi8AAAAJ","WALTER L RUZZO ",0,1,"CS",""
"212","nDH-AqwAAAAJ","JOHN K OUSTERHOUT ",0,3,"CS",""
